edad;animal;dia_semana;estado_civil;fecha;seno;constante;hijos;trabajos;sueldo;peso
62.0;pajaro;lunes;;2000-01-01;-0,958924275;1.5;2.0;2.0;18.149.950.033.977.300;83
65.0;gato;viernes;;2000-01-02;0,141120008;1.5;2.0;0.0;22.171.407.750.491.100;68
71.0;hamster;jueves;;2000-01-03;-0,279415498;1.5;3.0;1.0;25.846.052.337.084.400;89
18.0;perro;miercoles;;2000-01-04;0,909297427;1.5;3.0;3.0;;55
21.0;hamster;miercoles;;2000-01-05;0,141120008;1.5;0.0;1.0;17.076.050.295.655.700;
77.0;perro;jueves;;2000-01-06;0,141120008;1.5;1.0;1.0;;32
21.0;perro;martes;;2000-01-07;-0,756802495;1.5;3.0;1.0;29.786.111.832.859.000;34
57.0;pajaro;lunes;;2000-01-08;0,909297427;1.5;0.0;1.0;;45
27.0;n/a;jueves;;;-0,756802495;1.5;2.0;1.0;;77
37.0;gato;jueves;;;-0,279415498;1.5;1.0;1.0;;58
39.0;pez;martes;;2000-01-11;0;1.5;0.0;1.0;;89
68.0;perro;martes;;2000-01-12;0;1.5;3.0;0.0;;71
54.0;gato;miercoles;;2000-01-13;-0,756802495;1.5;2.0;1.0;24.711.161.243.729.600;47
41.0;perro;lunes;;2000-01-14;0,841470985;1.5;2.0;0.0;25.950.102.719.588.200;89
24.0;perro;viernes;;2000-01-15;-0,756802495;1.5;2.0;1.0;13156387.0;23
42.0;pajaro;lunes;;;0,141120008;1.5;0.0;1.0;23.131.124.028.140.200;55
42.0;pajaro;martes;;2000-01-17;-0,958924275;1.5;0.0;2.0;;34
30.0;gato;viernes;;2000-01-18;-0,279415498;1.5;2.0;1.0;21.140.318.473.874.400;79
76.0;gato;viernes;;2000-01-19;0;1.5;3.0;1.0;;31
19.0;pez;viernes;;2000-01-20;0,141120008;1.5;1.0;1.0;24.291.876.486.446.200;67
56.0;hamster;miercoles;;2000-01-21;0,141120008;1.5;2.0;2.0;20.746.306.234.997.200;80
57.0;pez;lunes;;2000-01-22;0,841470985;1.5;3.0;1.0;1.964.624.890.619.110;21
41.0;gato;viernes;;2000-01-23;-0,756802495;1.5;2.0;3.0;;59
64.0;perro;martes;;2000-01-24;-0,756802495;1.5;0.0;1.0;;23
42.0;pajaro;miercoles;;2000-01-25;0,141120008;1.5;2.0;1.0;19.936.318.568.243.400;42
35.0;;lunes;;2000-01-26;0,141120008;1.5;1.0;1.0;25.037.875.207.839.600;41
55.0;pajaro;jueves;;2000-01-27;-0,279415498;1.5;2.0;0.0;24.126.759.240.831.900;34
43.0;pez;miercoles;;2000-01-28;0;1.5;0.0;1.0;2.227.712.414.443.560;56
31.0;pajaro;viernes;;2000-01-29;0,841470985;1.5;2.0;0.0;22.728.681.126.189.600;81
26.0;pez;jueves;;2000-01-30;0,841470985;1.5;3.0;1.0;2.186.850.235.252.540;44
27.0;pajaro;martes;;2000-01-31;0;1.5;3.0;1.0;20.674.724.890.159.300;78
38.0;perro;jueves;;2000-02-01;0,841470985;1.5;0.0;1.0;20.182.354.793.701.100;48
69.0;gato;martes;;2000-02-02;0,909297427;1.5;0.0;3.0;;25
34.0;pez;jueves;;2000-02-03;-0,756802495;1.5;3.0;3.0;20.291.924.004.509.700;88
69.0;gato;martes;;2000-02-04;0,141120008;1.5;0.0;1.0;2.254.537.690.882.500;39
23.0;perro;jueves;;2000-02-05;0,909297427;1.5;2.0;0.0;28.237.156.084.213.200;52
33.0;gato;martes;;2000-02-06;-0,756802495;1.5;0.0;1.0;;57
65.0;pajaro;lunes;;;0,841470985;1.5;0.0;1.0;2.373.718.492.827.080;77
18.0;pajaro;viernes;;2000-02-08;-0,279415498;1.5;0.0;0.0;26.657.698.237.197.400;69
36.0;pez;martes;;2000-02-09;-0,279415498;1.5;1.0;0.0;2.736.471.184.358.170;71
53.0;perro;lunes;;2000-02-10;-0,958924275;1.5;0.0;1.0;;42
42.0;;lunes;;2000-02-11;-0,279415498;1.5;2.0;2.0;2.764.298.425.620.180;89
67.0;perro;miercoles;;2000-02-12;0,909297427;1.5;0.0;1.0;14.504.393.849.608.600;36
69.0;perro;miercoles;;2000-02-13;0,841470985;1.5;2.0;1.0;25.807.007.881.143.700;72
47.0;gato;miercoles;;2000-02-14;0,841470985;1.5;0.0;1.0;19.950.462.331.063.100;
37.0;perro;miercoles;;2000-02-15;-0,958924275;1.5;2.0;0.0;;79
37.0;hamster;lunes;;2000-02-16;-0,756802495;1.5;1.0;0.0;;82
32.0;perro;miercoles;;2000-02-17;-0,958924275;1.5;2.0;1.0;26.477.929.045.903.400;75
57.0;gato;jueves;;2000-02-18;0,841470985;1.5;2.0;1.0;20.767.968.958.888.200;38
50.0;perro;viernes;;2000-02-19;-0,756802495;1.5;3.0;1.0;;44
19.0;pez;jueves;;2000-02-20;-0,279415498;1.5;3.0;1.0;248.816.868.214.752;28
27.0;pajaro;lunes;;2000-02-21;0,141120008;1.5;0.0;3.0;;64
75.0;pajaro;viernes;;2000-02-22;-0,279415498;1.5;3.0;2.0;2.267.464.223.205.370;49
50.0;pez;jueves;;;-0,958924275;1.5;0.0;0.0;2.549.394.168.704.380;38
49.0;gato;jueves;;2000-02-24;-0,958924275;1.5;0.0;1.0;2.241.830.616.399.620;25
28.0;pez;martes;;2000-02-25;0,841470985;1.5;0.0;1.0;29.539.995.523.703.800;60
70.0;hamster;viernes;;2000-02-26;-0,958924275;1.5;0.0;1.0;18.727.186.512.799.000;89
41.0;gato;viernes;;2000-02-27;-0,958924275;1.5;0.0;1.0;;62
53.0;perro;lunes;;2000-02-28;0,909297427;1.5;0.0;3.0;;60
29.0;pajaro;miercoles;;2000-02-29;-0,756802495;1.5;2.0;0.0;14175631.0;84
68.0;pez;miercoles;;2000-03-01;-0,958924275;1.5;3.0;0.0;29.183.450.107.272.400;23
73.0;pajaro;viernes;;2000-03-02;0,909297427;1.5;0.0;1.0;25.832.878.550.699.300;46
46.0;;lunes;;2000-03-03;-0,756802495;1.5;2.0;2.0;2.833.763.400.812.220;26
52.0;pajaro;viernes;;2000-03-04;-0,756802495;1.5;0.0;2.0;13.890.112.563.274.500;53
18.0;pajaro;jueves;;2000-03-05;0,841470985;1.5;2.0;2.0;29.306.821.557.252.100;76
18.0;gato;martes;;2000-03-06;-0,279415498;1.5;2.0;2.0;;51
54.0;n/a;lunes;;2000-03-07;0,141120008;1.5;0.0;3.0;19.383.714.867.658.700;27
71.0;hamster;martes;;2000-03-08;-0,958924275;1.5;0.0;1.0;17.127.876.363.959.200;85
23.0;pez;martes;;2000-03-09;-0,756802495;1.5;0.0;1.0;;80
56.0;pajaro;miercoles;;2000-03-10;-0,756802495;1.5;2.0;1.0;3.396.219.712.987.740;27
58.0;pajaro;miercoles;;2000-03-11;0,909297427;1.5;2.0;1.0;24.632.723.393.110.700;85
70.0;perro;viernes;;2000-03-12;-0,958924275;1.5;0.0;0.0;26.105.507.596.178.600;20
35.0;pajaro;martes;;;-0,958924275;1.5;0.0;0.0;23.191.726.331.330.600;72
33.0;hamster;lunes;;2000-03-14;-0,279415498;1.5;0.0;1.0;;55
22.0;gato;miercoles;;2000-03-15;-0,958924275;1.5;2.0;1.0;24.331.879.235.539.600;70
59.0;perro;martes;;2000-03-16;0,141120008;1.5;0.0;2.0;;77
60.0;pajaro;lunes;;2000-03-17;-0,279415498;1.5;0.0;1.0;;54
76.0;gato;viernes;;2000-03-18;0,141120008;1.5;2.0;1.0;20.544.789.540.065.300;54
49.0;hamster;viernes;;2000-03-19;0,909297427;1.5;1.0;1.0;313.065.286.314.259;86
74.0;pajaro;viernes;_;2000-03-20;-0,279415498;1.5;0.0;3.0;2.223.910.372.638.840;54
19.0;hamster;martes;;2000-03-21;-0,756802495;1.5;0.0;1.0;2.163.854.184.225.670;78
19.0;perro;jueves;;;-0,958924275;1.5;3.0;1.0;26.131.933.162.486.800;83
57.0;perro;martes;;2000-03-23;0,141120008;1.5;0.0;2.0;22.688.568.836.566.300;30
59.0;pez;jueves;;2000-03-24;-0,279415498;1.5;1.0;0.0;20.019.327.447.726.200;80
75.0;hamster;jueves;;2000-03-25;0,841470985;1.5;0.0;1.0;1.799.651.194.126.600;73
53.0;perro;martes;;2000-03-26;-0,756802495;1.5;2.0;1.0;23.226.640.671.079.400;55
56.0;pez;miercoles;_;2000-03-27;-0,958924275;1.5;2.0;2.0;1256345.0;29
73.0;perro;martes;;2000-03-28;-0,279415498;1.5;2.0;1.0;16.858.068.188.761.600;72
29.0;perro;martes;;2000-03-29;-0,756802495;1.5;2.0;0.0;2.758.650.347.358.260;32
64.0;perro;jueves;;2000-03-30;-0,279415498;1.5;2.0;3.0;;57
36.0;perro;jueves;;2000-03-31;0,841470985;1.5;0.0;0.0;19.491.378.868.479.000;42
45.0;gato;miercoles;;2000-04-01;-0,279415498;1.5;2.0;1.0;2.316.298.931.984.020;73
18.0;perro;miercoles;;2000-04-02;-0,279415498;1.5;3.0;2.0;19.929.439.376.822.300;58
32.0;perro;martes;;2000-04-03;0;1.5;2.0;3.0;;85
53.0;pez;miercoles;;;0,841470985;1.5;0.0;2.0;22.651.502.548.661.800;24
71.0;gato;viernes;;2000-04-05;0,909297427;1.5;0.0;2.0;21.091.923.625.228.800;42
30.0;pajaro;martes;;;-0,756802495;1.5;0.0;1.0;14.308.781.669.817.300;42
